Name,Capacity,"What methods, topics, practices do you have experience in? 
"
Lola Ben Alon,2,"natural materials, digital fabrication, life cycle analysis"
Josh Begley,2,"critical cartography, storytelling, film editing"
David Benjamin,2,"embodied carbon, low carbon design, biomaterials"
Joe Brennan,2,"computational design & BIM (complex buildings), sustainability & resilience, digital fabrication & prototyping, urban systems analysis, design-to-delivery workflows"
Michael Krisch,2,"spatial analysis & visualization (spatial statistics, WebGL, public data), AI classification & verification (local/open models, verification frameworks, prompt design), journalism & storytelling (interviewing, investigative reporting, data analysis)"
Daniel Leithinger,1,"physical computing, human computer interaction (HCI)"
William Martin,2,"AI, spatial computing, computational design, software engineering, product design & management"
Dan Miller,2,"spatial analysis & data science, GIS methods, critical cartography, video production, web design & development"
James Nanasca,2,"computational design, digital fabrication, topology & architectural geometry"
Danil Nagy,2,"software development, computational/generative design, optimization, machine learning, Python, Grasshopper"
James Piacentini,2,"product design & prototyping, digital cartography, AR/VR, spatial storytelling"
Kaz Sakamoto,2,"spatial analysis & remote sensing, GIS, machine learning & computer vision, urban app prototyping, dashboards & data visualization"
Seth Thompson,2,"visual representation, interactivity, 3D rendering, cartography & GIS, web development"
Anthony Vanky,1,"physical computing, urban/societal-scale design & analysis, critical methods"
Adam Vosburgh,2,"spatial analysis & visualization, computational design, digital fabrication, 3D animation & video, sound design, real-time engines"
Chris Woebken,2,"interaction design, critical design, participatory design facilitation, multi-species design"
Jia Zhang,1,"data visualization, public/open data"
